id,question,answerability,trap_type,prompt_mode,generated_answer,evidence_status,observed_status,retrieved_sources,source_count,citation_count,invalid_citation_count,prompt_tokens,retrieval_seconds,vector_seconds,lexical_seconds,fusion_seconds,generation_seconds,total_claims,supported_claims,partially_supported_claims,unsupported_claims,claims_with_citations,citations_that_support_claim,manual_correctness,manual_groundedness,manual_partial_handling,notes
g001,How does PostgreSQL streaming replication transfer changes to a standby?,full,none,baseline,PostgreSQL streaming replication transfers changes to a standby by keeping one or more standby servers synchronized with a primary database server. The primary records every database change in the write,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,5,0,0,897,0.2673179004341364,0.22295550000853837,0.044274200219661,8.820020593702793e-05,116.39263925002888,,,,,,,,,,
g002,What role does MVCC play in PostgreSQL transaction visibility?,full,none,baseline,MVCC (Multiversion Concurrency Control) plays a crucial role in PostgreSQL transaction visibility by allowing multiple transactions to read and modify data concurrently without conflicts. Instead,,UNDECLARED,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md,5,0,0,912,0.11428300011903048,0.07592149986885488,0.03829570021480322,6.580003537237644e-05,116.39263925002888,,,,,,,,,,
g003,How does Kubernetes select a node for a Pod?,full,none,baseline,"Kubernetes selects a node for a Pod based on several factors including CPU and memory availability, node selectors, node affinities, and taints. The",,UNDECLARED,kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md,4,0,0,779,0.11811570008285344,0.07847690000198781,0.03958780015818775,5.0999922677874565e-05,116.39263925002888,,,,,,,,,,
g004,What is Kafka primarily used for?,full,none,baseline,"Kafka is primarily used for publishing, storing, and processing ordered streams of records. It allows producers to write events to topics, and consumers to read events from",,UNDECLARED,kafka-overview.md|kafka-overview.md|kafka-overview.md|kafka-overview.md,4,0,0,763,0.13421569974161685,0.09897529985755682,0.0351966000162065,4.37998678535223e-05,116.39263925002888,,,,,,,,,,
g005,What durability and latency trade-off does synchronous PostgreSQL replication make?,full,none,baseline,The durability and latency trade-off of synchronous PostgreSQL replication involves requiring one or more standby servers to acknowledge a transaction before the primary reports it as committed. This approach ensures,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,5,0,0,840,0.1281597998458892,0.0790621000342071,0.04902509995736182,7.25998543202877e-05,127.8083448499674,,,,,,,,,,
g006,Why can an inactive replication slot consume disk space on a PostgreSQL primary?,full,none,baseline,An inactive replication slot consumes disk space on a PostgreSQL primary because it prevents the primary from deleting WAL (Write-Ahead Log) segments that a standby or logical replication,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md|postgres-replication.md,5,0,0,910,0.12649530032649636,0.0879769001621753,0.0384740000590682,4.440010525286198e-05,127.8083448499674,,,,,,,,,,
g007,How does logical replication differ from physical streaming replication?,full,none,baseline,"Logical replication differs from physical streaming replication primarily in how it handles changes. Logical replication focuses on publishing row-level changes for specific tables, whereas physical streaming replication replicates",,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|kafka-overview.md,5,0,0,902,0.10708220023661852,0.0694951000623405,0.03749480005353689,9.230012074112892e-05,127.8083448499674,,,,,,,,,,
g008,How do Read Committed and Repeatable Read differ in their use of snapshots?,full,none,baseline,"Read Committed (RC) and Repeatable Read (RR) are both isolation levels used in SQL databases like PostgreSQL to manage concurrent transactions. Under RC, each",,UNDECLARED,postgres-mvcc.md|postgres-mvcc.md|kafka-overview.md|postgres-replication.md|postgres-replication.md,5,0,0,967,0.12319800024852157,0.08666020003147423,0.0364888000767678,4.900014027953148e-05,127.8083448499674,,,,,,,,,,
g009,Why can PostgreSQL readers and writers usually proceed without blocking each other?,full,none,baseline,PostgreSQL readers and writers can usually proceed without blocking each other due to its Multiversion Concurrency Control (MVCC) mechanism. Under the Read Committed,,UNDECLARED,postgres-mvcc.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,5,0,0,971,0.1034862999804318,0.06355109997093678,0.03984629991464317,8.890009485185146e-05,131.0856236249674,,,,,,,,,,
g010,Why are VACUUM and autovacuum important for obsolete row versions?,full,none,baseline,VACUUM and autovacuum are important for obsolete row versions because deleted and obsolete row versions occupy storage until PostgreSQL determines that no active transaction can see,,UNDECLARED,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md,3,0,0,690,0.1015903998631984,0.06227750005200505,0.039268999826163054,4.3899985030293465e-05,131.0856236249674,,,,,,,,,,
g011,What is the difference between Kubernetes resource requests and limits during scheduling?,full,none,baseline,The difference between Kubernetes resource requests and limits during scheduling lies in how these concepts affect the allocation of resources to pods. Requests represent the minimum amount of CPU and memory,,UNDECLARED,kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md,4,0,0,782,0.15356940031051636,0.09433660004287958,0.059171800035983324,6.100023165345192e-05,131.0856236249674,,,,,,,,,,
g012,"How do taints, tolerations, and node affinity affect Pod placement?",full,none,baseline,"Taints, tolerations, and node affinity all play crucial roles in Pod placement within Kubernetes clusters.

Taints can be applied to nodes to mark them",,UNDECLARED,kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md,4,0,0,785,0.13117969990707934,0.07011329988017678,0.060966100078076124,0.00010029994882643223,131.0856236249674,,,,,,,,,,
g013,What happens after the Kubernetes scheduler binds a Pod to a node?,full,none,baseline,"After the Kubernetes scheduler binds a Pod to a node, the kubelet on that node works with the container runtime to obtain images and start the containers.",,UNDECLARED,kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md|postgres-replication.md,5,0,0,930,0.11259169969707727,0.06739929993636906,0.04512199992313981,7.039983756840229e-05,119.50011367496336,,,,,,,,,,
g014,How do Kafka partitions provide ordering and parallelism?,full,none,baseline,Kafka partitions provide both ordering and parallelism through their replication mechanism and assignment of partitions to consumer groups. Each partition is replicated across brokers with a specified replication factor,,UNDECLARED,kafka-overview.md|kafka-overview.md|kafka-overview.md|kafka-overview.md,4,0,0,766,0.13736410019919276,0.08095180010423064,0.05631890008226037,9.34000127017498e-05,119.50011367496336,,,,,,,,,,
g015,How do Kafka consumer groups divide partition work?,full,none,baseline,Kafka consumer groups divide partition work by assigning each partition to at most one consumer within the group. This allows the group to independently read the same events for separate,,UNDECLARED,kafka-overview.md|kafka-overview.md|kafka-overview.md|kafka-overview.md,4,0,0,765,0.1540330999996513,0.10510109993629158,0.04887489997781813,5.710008554160595e-05,119.50011367496336,,,,,,,,,,
g016,"How does PostgreSQL streaming replication work, and which exact PostgreSQL version introduced it?",partial,missing_version,baseline,PostgreSQL streaming replication works by keeping one or more standby servers synchronized with a primary database server. The primary records every database change in the write-ahead log (common,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,5,0,0,911,0.11852380004711449,0.07188769988715649,0.04658930003643036,4.6800123527646065e-05,119.50011367496336,,,,,,,,,,
g017,"What trade-off does synchronous replication make, and what is its exact default acknowledgement timeout?",partial,missing_number,baseline,Synchronous replication makes a trade-off between high transactional performance (low commit latency) and strong data durability (redundant backups). The default acknowledgement timeout,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|kafka-overview.md|postgres-replication.md,5,0,0,967,0.12177610024809837,0.07015720009803772,0.05155090009793639,6.800005212426186e-05,119.65862112503964,,,,,,,,,,
g018,"Why are replication slots useful, and what exact maximum amount of WAL may a slot retain by default?",partial,missing_number,baseline,"Replication slots are useful in preventing the primary from deleting WAL segments that a standby or logical replication consumer still needs. By default, a replication slot retains up to",,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md|postgres-replication.md,5,0,0,848,0.11011399980634451,0.06637050001882017,0.043700699927285314,4.279986023902893e-05,119.65862112503964,,,,,,,,,,
g019,"How does logical replication differ from physical replication, and what minimum version supports each?",partial,missing_version,baseline,Logical replication differs from physical replication in that logical replication publishes row-level changes for selected tables and can replicate between databases with different physical layouts or major PostgreSQL versions. Physical,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|kafka-overview.md|kafka-overview.md,5,0,0,864,0.12453579995781183,0.07912499993108213,0.04535800009034574,5.279993638396263e-05,119.65862112503964,,,,,,,,,,
g020,"How do MVCC snapshots determine visibility, and how many bytes of memory does each snapshot consume?",partial,missing_number,baseline,"MVCC snapshots determine visibility through the following mechanisms:

Under the Read Committed isolation level, each SQL statement or transaction receives a new snapshot. This means that each",,UNDECLARED,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md,4,0,0,773,0.11464829975739121,0.07158809993416071,0.04301819996908307,4.1999854147434235e-05,119.65862112503964,,,,,,,,,,
g021,"What does VACUUM do, and what is the exact default interval at which autovacuum runs?",partial,missing_number,baseline,VACUUM performs an operation to reclaim unused space occupied by deleted or obsolete row versions in PostgreSQL databases. It marks these spaces as reusable so that they can,,UNDECLARED,postgres-mvcc.md,1,0,0,400,0.12819789978675544,0.0829318999312818,0.045206099981442094,5.989987403154373e-05,104.6330111999996,,,,,,,,,,
g022,"How does the Kubernetes scheduler filter nodes, and what are the exact default weights for every scoring plugin?",partial,missing_number,baseline,"The Kubernetes scheduler filters nodes based on several criteria before assigning them to new pods. Nodes are initially filtered out if they lack sufficient CPU or memory, do not match",,UNDECLARED,kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md,4,0,0,789,0.1185822996776551,0.07199699990451336,0.04651069990359247,7.459986954927444e-05,104.6330111999996,,,,,,,,,,
g023,"How do resource requests affect scheduling, and what default CPU request is assigned when none is specified?",partial,missing_configuration,baseline,"Resource requests play a crucial role in Kubernetes scheduling. When a new pod is created, the Kubernetes scheduler evaluates all available nodes based on their compatibility with the pod's",,UNDECLARED,kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md,4,0,0,788,0.14652660000137985,0.10100570018403232,0.04545309999957681,6.779981777071953e-05,104.6330111999996,,,,,,,,,,
g024,"How do Kafka partitions enable parallelism, and what is the maximum supported partition count per broker?",partial,missing_number,baseline,"Kafka partitions enable parallelism through their ability to distribute storage and processing across multiple brokers. Each partition is replicated across brokers based on its replication factor, with one",,UNDECLARED,kafka-overview.md|kafka-overview.md|kafka-overview.md|kafka-overview.md|kubernetes-scheduling.md,5,0,0,925,0.10662690014578402,0.06507920008152723,0.04148080013692379,6.689992733299732e-05,104.6330111999996,,,,,,,,,,
g025,"How do Kafka consumer groups divide work, and what is the default rebalance timeout?",partial,missing_configuration,baseline,Kafka consumer groups divide work by assigning each partition to at most one consumer within the group. This allows the group to effectively divide the topic's workload among its,,UNDECLARED,kafka-overview.md|kafka-overview.md|kafka-overview.md|kafka-overview.md|kubernetes-scheduling.md,5,0,0,923,0.10444319993257523,0.06543700001202524,0.03894509980455041,6.110011599957943e-05,101.76691437500995,,,,,,,,,,
g026,"According to these documents, what is PostgreSQL's maximum database size?",none,missing_numeric_fact,baseline,"Based on the provided source excerpt from `datasets\raw\postgres-replication.md`, it states that PostgreSQL's maximum database size can be up to 3",,UNDECLARED,postgres-replication.md,1,0,0,380,0.11639210022985935,0.07673380011692643,0.039614600129425526,4.369998350739479e-05,101.76691437500995,,,,,,,,,,
g027,Which PostgreSQL configuration parameter guarantees zero RPO across geographic regions?,none,false_guarantee,baseline,The PostgreSQL configuration parameter that guarantees zero Recovery Point Objective (RPO) across geographic regions is **physical streaming replication**. This method of replication copies changes for the,,UNDECLARED,postgres-replication.md|postgres-mvcc.md,2,0,0,469,0.11163890012539923,0.06649590004235506,0.045083200093358755,5.979998968541622e-05,101.76691437500995,,,,,,,,,,
g028,What exact PostgreSQL version introduced streaming replication?,none,missing_version,baseline,"The exact PostgreSQL version that introduced streaming replication was PostgreSQL 9.0. This feature allows for continuous synchronization of data across multiple servers without requiring manual intervention, providing",,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,5,0,0,904,0.131253199884668,0.066716100089252,0.06445119995623827,8.58998391777277e-05,101.76691437500995,,,,,,,,,,
g029,What does SQLSTATE 23505 mean?,none,missing_fact,baseline,SQLSTATE 23505 typically indicates a violation of the foreign key constraint in PostgreSQL. This error occurs when there is no matching value for the referenced,,UNDECLARED,postgres-mvcc.md,1,0,0,386,0.11204549996182323,0.06611029990017414,0.04586640000343323,6.880005821585655e-05,101.1752151750261,,,,,,,,,,
g030,What is the default value of log_min_duration_statement?,none,missing_configuration,baseline,I don't have enough information in the provided sources to answer that question.,,INSUFFICIENT,,0,0,0,0,0.10778390010818839,0.06189989997074008,0.04580990015529096,7.409998215734959e-05,0.0,,,,,,,,,,
g031,How does YugabyteDB xCluster replication resolve write conflicts?,none,missing_fact,baseline,YugabyteDB xCluster replication resolves write conflicts by utilizing replication slots. These slots ensure that the primary PostgreSQL instance does not delete WAL (Write-Ahead Log,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|kafka-overview.md|postgres-replication.md,5,0,0,904,0.11727930000051856,0.07790359994396567,0.03930349997244775,7.220008410513401e-05,101.1752151750261,,,,,,,,,,
g032,What is the capital of Japan?,none,out_of_domain,baseline,I don't have enough information in the provided sources to answer that question.,,INSUFFICIENT,,0,0,0,0,0.1288902999367565,0.0793588999658823,0.04945910000242293,7.229996845126152e-05,0.0,,,,,,,,,,
g033,Who won the 2022 FIFA World Cup?,none,out_of_domain,baseline,I don't have enough information in the provided sources to answer that question.,,INSUFFICIENT,,0,0,0,0,0.11200309987179935,0.06542809982784092,0.04650170006789267,7.329997606575489e-05,0.0,,,,,,,,,,
g034,Do obsolete PostgreSQL row versions prove that a long-running transaction caused yesterday's production CPU spike?,none,causal_inference,baseline,"No, obsolete PostgreSQL row versions do not directly prove that a long-running transaction caused yesterday's production CPU spike. The excerpt from S1 states that row versions are",,UNDECLARED,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md,5,0,0,920,0.11248630029149354,0.07185790012590587,0.04053350002504885,9.490014053881168e-05,101.1752151750261,,,,,,,,,,
g035,Why does PostgreSQL require synchronous replication for MVCC?,none,false_premise,baseline,PostgreSQL requires synchronous replication for MVCC (Multi-Version Concurrency Control) primarily due to its need to ensure consistency across multiple read operations concurrently accessing the same data,,UNDECLARED,postgres-mvcc.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,5,0,0,898,0.10892310016788542,0.06336310016922653,0.04550989996641874,5.010003224015236e-05,101.1752151750261,,,,,,,,,,
