id,question,answerability,trap_type,prompt_mode,generated_answer,evidence_status,observed_status,retrieved_sources,source_count,citation_count,invalid_citation_count,prompt_tokens,retrieval_seconds,vector_seconds,lexical_seconds,fusion_seconds,generation_seconds,total_claims,supported_claims,partially_supported_claims,unsupported_claims,claims_with_citations,citations_that_support_claim,manual_correctness,manual_groundedness,manual_partial_handling,notes
g001,How does PostgreSQL streaming replication transfer changes to a standby?,full,none,strict,PostgreSQL streaming replication transfers changes to a standby by keeping one or more standby servers synchronized with a primary database server. The primary records every database change in the write,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,5,0,0,2,0.24238549987785518,0.16670170007273555,0.0755397998727858,0.00014399993233382702,135.97692724998342,,,,,,,,,,
g002,What role does MVCC play in PostgreSQL transaction visibility?,full,none,strict,MVCC (Multiversion Concurrency Control) plays a crucial role in PostgreSQL's transaction visibility by allowing multiple transactions to read and modify data concurrently without conflicts.,,UNDECLARED,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md,5,0,0,2,0.180222500115633,0.10913450014777482,0.07098670001141727,0.0001012999564409256,135.97692724998342,,,,,,,,,,
g003,How does Kubernetes select a node for a Pod?,full,none,strict,"Kubernetes selects a node for a Pod by considering various factors including CPU and memory availability, node selectors, node affinities, and storage requirements. The scheduler",,UNDECLARED,kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md,4,0,0,2,0.21767760021612048,0.13849150016903877,0.07909839996136725,8.770008571445942e-05,135.97692724998342,,,,,,,,,,
g004,What is Kafka primarily used for?,full,none,strict,"EVIDENCE_STATUS: SUPPORTED

Kafka is primarily used for publishing, storing, and processing ordered streams of records. Producers write events to topics,",SUPPORTED,SUPPORTED,kafka-overview.md|kafka-overview.md|kafka-overview.md|kafka-overview.md,4,0,0,2,0.17266619997099042,0.1008260000962764,0.07173889991827309,0.0001012999564409256,135.97692724998342,,,,,,,,,,
g005,What durability and latency trade-off does synchronous PostgreSQL replication make?,full,none,strict,The durability and latency trade-off of synchronous PostgreSQL replication involves requiring one or more standby servers to acknowledge a transaction before the primary reports it as committed. This approach ensures,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,5,0,0,2,0.1829830000642687,0.10657409997656941,0.07629609992727637,0.00011280016042292118,127.75539134995779,,,,,,,,,,
g006,Why can an inactive replication slot consume disk space on a PostgreSQL primary?,full,none,strict,An inactive replication slot consumes disk space on a PostgreSQL primary because it prevents the primary from deleting WAL segments that a standby or logical replication consumer still needs. Slots must,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md|postgres-replication.md,5,0,0,2,0.1767068998888135,0.10840680007822812,0.06820450001396239,9.559979662299156e-05,127.75539134995779,,,,,,,,,,
g007,How does logical replication differ from physical streaming replication?,full,none,strict,"Logical replication differs from physical streaming replication in several key ways:

- Logical replication focuses on publishing row-level changes for specific tables, whereas physical streaming replication replicates changes",,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|kafka-overview.md,5,0,0,2,0.18514639977365732,0.11525540007278323,0.06980129983276129,8.96998681128025e-05,127.75539134995779,,,,,,,,,,
g008,How do Read Committed and Repeatable Read differ in their use of snapshots?,full,none,strict,"Read Committed and Repeatable Read differ in their use of snapshots. Under the Read Committed isolation level, each statement receives a new snapshot, while under Repeat",,UNDECLARED,postgres-mvcc.md|postgres-mvcc.md|kafka-overview.md|postgres-replication.md|postgres-replication.md,5,0,0,2,0.1747619998641312,0.10487710009329021,0.06981329992413521,7.159984670579433e-05,127.75539134995779,,,,,,,,,,
g009,Why can PostgreSQL readers and writers usually proceed without blocking each other?,full,none,strict,"EVIDENCE_STATUS: SUPPORTED

PostgreSQL readers and writers can usually proceed without blocking each other due to Multiversion Concurrency Control (MVCC).",SUPPORTED,SUPPORTED,postgres-mvcc.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,5,0,0,2,0.16865259991027415,0.1009366000071168,0.06764449994079769,7.149996235966682e-05,121.96097300003748,,,,,,,,,,
g010,Why are VACUUM and autovacuum important for obsolete row versions?,full,none,strict,The VACUUM and autovacuum processes are crucial for managing obsolete row versions in PostgreSQL. When a row is deleted or becomes obsolete due to being,,UNDECLARED,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md,3,0,0,2,0.17602920019999146,0.10408660001121461,0.07185970013961196,8.290004916489124e-05,121.96097300003748,,,,,,,,,,
