source,chunk_index,token_count,content
kafka-overview.md,0,150,"# apache kafka overview apache kafka is a distributed event - streaming platform used to publish, store, and process ordered streams of records. producers write events to topics, and consumers read events from those topics. a topic is divided into partitions. events within a partition have a stable order and receive sequential offsets. partitions allow kafka to distribute storage and processing across multiple brokers and enable consumer applications to process data in parallel. kafka brokers form a cluster. each partition is replicated across brokers according to its replication factor. one replica acts as the leader and handles reads and writes, while follower replicas copy the partition data. if a broker fails, an eligible follower can become the new leader. consumers"
kafka-overview.md,1,150,"and handles reads and writes, while follower replicas copy the partition data. if a broker fails, an eligible follower can become the new leader. consumers commonly belong to a consumer group. kafka assigns each partition to at most one consumer within the group, allowing the group to divide the topic's workload. different consumer groups can independently read the same events for separate applications. kafka retains events for a configured period or until a size limit is reached, regardless of whether consumers have already read them. consumers track offsets and can replay older records when required. kafka replication concerns event - log partitions across kafka brokers. it is conceptually related to fault tolerance and data distribution but is different from postgres"
kafka-overview.md,2,49,"event - log partitions across kafka brokers. it is conceptually related to fault tolerance and data distribution but is different from postgresql streaming replication, which sends database wal records from a primary server to standby servers."
kubernetes-scheduling.md,0,150,"# kubernetes scheduling the kubernetes scheduler assigns newly created pods to suitable worker nodes. a pod remains pending until the scheduler selects a node and records the binding through the kubernetes api. scheduling begins by filtering out nodes that cannot run the pod. a node may be excluded because it lacks sufficient cpu or memory, does not satisfy a node selector or required node affinity rule, contains an incompatible taint, or cannot meet a storage requirement. the scheduler then scores the remaining feasible nodes. scoring considers preferences such as balanced resource usage, preferred affinity, topology distribution, and the placement of related workloads. the highest - ranked node is normally selected. requests describe the cpu and memory that the scheduler reserves for"
kubernetes-scheduling.md,1,150,"and the placement of related workloads. the highest - ranked node is normally selected. requests describe the cpu and memory that the scheduler reserves for a container. limits constrain the resources a running container may consume. accurate requests are important because the scheduler bases placement decisions on requested resources rather than current instantaneous usage. taints allow nodes to repel pods, while tolerations permit specific pods to be scheduled onto those nodes. node affinity attracts pods to nodes with matching labels. pod affinity and anti - affinity control whether workloads should run near or away from other pods. the scheduler chooses a node but does not start containers itself. after a pod is bound, the kubelet on the selected node works with the container"
kubernetes-scheduling.md,2,40,"scheduler chooses a node but does not start containers itself. after a pod is bound, the kubelet on the selected node works with the container runtime to obtain images and start the containers."
postgres-mvcc.md,0,150,"# postgresql mvcc postgresql uses multiversion concurrency control, or mvcc, to allow transactions to read and write data concurrently. instead of overwriting a row in place, an update creates a new row version. older row versions can remain visible to transactions whose snapshots were created before the update. each sql statement or transaction observes a snapshot that determines which row versions are visible. under the read committed isolation level, each statement receives a new snapshot. under repeatable read, the transaction continues to use the same snapshot, so repeated queries see a stable view of committed data. mvcc reduces contention because readers generally do not block writers and writers generally do not block readers. row - level locks"
postgres-mvcc.md,1,150,"a stable view of committed data. mvcc reduces contention because readers generally do not block writers and writers generally do not block readers. row - level locks are still used when concurrent transactions attempt incompatible modifications to the same rows. deleted and obsolete row versions occupy storage until postgresql determines that no active transaction can see them. the vacuum process marks this space reusable. autovacuum runs automatically based on table activity and is essential for controlling table bloat and preventing transaction id wraparound. mvcc provides visibility rules and isolation ; it is not a replication mechanism. streaming replication uses wal records to transfer database changes to standby servers, while mvcc controls how concurrent transactions on a postgresql server observe row versions."
postgres-replication.md,0,150,"# postgresql streaming replication postgresql streaming replication keeps one or more standby servers synchronized with a primary database server. the primary records every database change in the write - ahead log, commonly called wal. a standby connects to the primary and continuously receives these wal records through postgresql's replication protocol. the standby replays the wal records to reproduce the changes made on the primary. by default, streaming replication is asynchronous : the primary can commit a transaction before a standby confirms that it received the corresponding wal. this provides low transaction latency, but a failure of the primary can result in the loss of recently committed transactions if those records had not reached the standby. sync"
postgres-replication.md,1,150,"transaction latency, but a failure of the primary can result in the loss of recently committed transactions if those records had not reached the standby. synchronous replication can require one or more standby servers to acknowledge a transaction before the primary reports that transaction as committed. this improves durability but increases commit latency because the primary must wait for a remote acknowledgement. a standby can be promoted when the primary becomes unavailable. promotion ends recovery mode and allows the standby to accept writes as the new primary. postgresql does not provide a complete automatic failover manager by itself, so production systems often use an external orchestration tool to detect failures, promote a standby, and redirect clients. replication slots can"
postgres-replication.md,2,118,"itself, so production systems often use an external orchestration tool to detect failures, promote a standby, and redirect clients. replication slots can prevent the primary from deleting wal segments that a standby or logical replication consumer still needs. slots must be monitored carefully because an inactive consumer can cause retained wal to consume significant disk space. physical streaming replication copies changes for the entire postgresql cluster at the storage level. logical replication instead publishes row - level changes for selected tables and can replicate between databases with different physical layouts or major postgresql versions."
