id,question,candidate_k,baseline_hit@1,baseline_hit@3,baseline_hit@5,baseline_mrr,candidate_hit,reranked_hit@1,reranked_hit@3,reranked_hit@5,reranked_mrr,vector_rank,reranked_rank,movement,winner_original_rank,winner_movement,baseline_vector_seconds,vector_seconds,rerank_seconds,total_seconds,pairs,pairs_per_second,top_rerank_score
q001,How does PostgreSQL streaming replication transfer changes to a standby?,5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014721399988047779,0.014595599961467087,0.08846940007060766,0.10306500003207475,5,56.51671646930449,0.9994427561759949
q001,How does PostgreSQL streaming replication transfer changes to a standby?,10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014721399988047779,0.01197140000294894,0.1601836000336334,0.17215500003658235,10,62.4283634398298,0.9994427561759949
q001,How does PostgreSQL streaming replication transfer changes to a standby?,20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014721399988047779,0.012893400038592517,0.26866669999435544,0.28156010003294796,17,63.27542639395639,0.9994427561759949
q001,How does PostgreSQL streaming replication transfer changes to a standby?,40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.014721399988047779,0.015143199940212071,0.2764655000064522,0.2916086999466643,17,61.490493387432615,0.9994427561759949
q002,What role does MVCC play in PostgreSQL transaction visibility?,5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.015365200000815094,0.013930900022387505,0.08735489996615797,0.10128579998854548,5,57.23777374751779,0.997503936290741
q002,What role does MVCC play in PostgreSQL transaction visibility?,10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.015365200000815094,0.013976400019600987,0.15994000004138798,0.17391640006098896,10,62.52344627618032,0.997503936290741
q002,What role does MVCC play in PostgreSQL transaction visibility?,20,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.015365200000815094,0.01127360004466027,0.31538700009696186,0.3266606001416221,17,53.90203145587345,0.997503936290741
q002,What role does MVCC play in PostgreSQL transaction visibility?,40,1,1,1,1.0,1,1,1,1,1.0,1,1,0,2,1,0.015365200000815094,0.017511999933049083,0.3052115000318736,0.32272349996492267,17,55.699080795529234,0.997503936290741
q003,How does Kubernetes select a node for a Pod?,5,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.012452300055883825,0.011938499985262752,0.0864832999650389,0.09842179995030165,5,57.81463013114975,0.9993372559547424
q003,How does Kubernetes select a node for a Pod?,10,1,1,1,1.0,1,1,1,1,1.0,1,1,0,1,0,0.012452300055883825,0.012933299993164837,0.15973870002198964,0.17267200001515448,10,62.60223727013804,0.9993372559547424
