id,question,hit@1,hit@3,hit@5,recall@5,reciprocal_rank,correct_source_rank,top_1_source,top_1_chunk_index,top_1_similarity,retrieval_seconds
q001,How does PostgreSQL streaming replication transfer changes to a standby?,1,1,1,1.0,1.0,1,postgres-replication.md,0,0.8852362036705017,0.028357100090943277
q002,What role does MVCC play in PostgreSQL transaction visibility?,1,1,1,1.0,1.0,1,postgres-mvcc.md,0,0.851059079170227,0.025567400036379695
q003,How does Kubernetes select a node for a Pod?,1,1,1,1.0,1.0,1,kubernetes-scheduling.md,3,0.7894241809844971,0.025723099941387773
q004,What is Kafka primarily used for?,1,1,1,1.0,1.0,1,kafka-overview.md,0,0.7813389301300049,0.020397700020112097
q007,What durability and latency trade-off does synchronous PostgreSQL replication make?,1,1,1,1.0,1.0,1,postgres-replication.md,1,0.7828857898712158,0.022972799954004586
q008,Why can an inactive replication slot consume disk space on a PostgreSQL primary?,1,1,1,1.0,1.0,1,postgres-replication.md,3,0.8331634998321533,0.023915400030091405
q009,How does logical replication differ from physical streaming replication?,1,1,1,1.0,1.0,1,postgres-replication.md,1,0.7560083866119385,0.02639789995737374
q010,How do PostgreSQL snapshots determine which row versions a transaction can see?,1,1,1,1.0,1.0,1,postgres-mvcc.md,0,0.8108248710632324,0.029903599992394447
q011,Why can PostgreSQL readers and writers usually proceed without blocking each other?,1,1,1,1.0,1.0,1,postgres-mvcc.md,1,0.7474693059921265,0.028908599982969463
q012,Why are VACUUM and autovacuum important for obsolete row versions?,1,1,1,1.0,1.0,1,postgres-mvcc.md,2,0.7996127605438232,0.02739339997060597
q013,What is the difference between Kubernetes resource requests and limits during scheduling?,1,1,1,1.0,1.0,1,kubernetes-scheduling.md,0,0.7762918472290039,0.027791400090791285
q014,"How do taints, tolerations, and node affinity affect Pod placement?",1,1,1,1.0,1.0,1,kubernetes-scheduling.md,2,0.828998863697052,0.026494600111618638
q015,What happens after the Kubernetes scheduler binds a Pod to a node?,1,1,1,1.0,1.0,1,kubernetes-scheduling.md,3,0.8232588768005371,0.02783180004917085
q016,How do Kafka partitions provide ordering and parallelism?,1,1,1,1.0,1.0,1,kafka-overview.md,1,0.810100257396698,0.0273536000167951
q017,How do Kafka consumer groups divide partition work?,1,1,1,1.0,1.0,1,kafka-overview.md,1,0.8514151573181152,0.02858599997125566
q018,How does Kafka retain and replay events?,1,1,1,1.0,1.0,1,kafka-overview.md,2,0.7638413906097412,0.025445599923841655
