id,query_type,original,semantic,technical,alternate,fallback_used,original_identifiers,missing_semantic_identifiers,missing_technical_identifiers,missing_alternate_identifiers,transformation_seconds,meaning_preserved,identifiers_preserved,hallucinated_terminology,notes
qt001,DIRECT,How does PostgreSQL streaming replication work?,How does PostgreSQL's streaming replication mechanism function?,What is the process of PostgreSQL's streaming replication?,How does PostgreSQL's stream-replication feature operate?,0,,,,,72.32857195002725,,,,
qt011,PARAPHRASE,How can database readers see stable data without making writers wait?,How do I ensure that database readers access consistent data without causing writer delays?,What methods are there to guarantee that database readers get up-to-date data without blocking writers?,How can I make sure that database readers have access to stable data without affecting the writers?,0,,,,,72.32857195002725,,,,
qt021,VAGUE,Why are old versions not getting cleaned up?,Why aren't older versions being removed?,Why are outdated revisions not being discarded?,Why isn't there a process to delete older iterations?,0,,,,,72.32857195002725,,,,
qt031,EXACT_IDENTIFIER,What does WAL do in PostgreSQL streaming replication?,What role does Write-Ahead Logging (WAL) play in PostgreSQL's streaming replication process?,How does Write-Ahead Logging (WAL) function within PostgreSQL's streaming replication mechanism?,In what capacity does Write-Ahead Logging (WAL) operate during,0,WAL,,,,72.32857195002725,,,,
qt041,MULTI_PART,"How does streaming replication work, and what can happen if an asynchronous standby has not received the latest WAL?",Explanation of streaming replication process and potential issues with asynchronous standby.,How Streaming Replication Works and What Can Happen If Asynchronous Standby Does Not Receive Latest WAL?,Streaming Replication Explained and Potential Issues With Asynchronous Standby Not Receiving Latest WAL,0,WAL,WAL,,,70.12219112500316,,,,
qt002,DIRECT,How does PostgreSQL MVCC determine row visibility?,How does PostgreSQL MVCC determine row visibility?,How does PostgreSQL MVCC determine row visibility?,How does PostgreSQL MVCC determine row visibility?,1,MVCC,,,,70.12219112500316,,,,
qt012,PARAPHRASE,How are change records shipped and applied to a backup database?,How do changes in data get transmitted and integrated into a backup database?,What process does a system use to send modifications to a database and incorporate them into a backup copy?,How does a system handle transferring updates from a primary database to a backup database?,0,,,,,70.12219112500316,,,,
qt022,VAGUE,Why is the replica falling behind?,Why does the replica appear to be lagging?,What causes the replica to experience performance degradation?,How can I diagnose why my replica is running slower?,0,,,,,70.12219112500316,,,,
qt032,EXACT_IDENTIFIER,What does MVCC provide in PostgreSQL?,What features does Multi-Version Concurrency Control (MVCC) offer in PostgreSQL?,How does PostgreSQL's Multi-Version Concurrency Control (MVCC) function?,What capabilities does PostgreSQL's MVCC mechanism support?,0,MVCC,,,,65.38144742499571,,,,
qt042,MULTI_PART,"How do snapshots provide MVCC visibility, and how does VACUUM reclaim obsolete versions?",How do snapshot-based transactions ensure data consistency in distributed systems?,What mechanisms enable Snapshot Isolation (SIs) to maintain transactional integrity across multiple database instances?,How do snapshot isolation levels prevent deadlocks in concurrent database operations?,0,MVCC|VACUUM,MVCC|VACUUM,MVCC|VACUUM,MVCC|VACUUM,65.38144742499571,,,,
qt003,DIRECT,How does Kubernetes select a node for a Pod?,How does Kubernetes determine which node to assign a Pod to?,What algorithm does Kubernetes use to choose a node for a Pod?,How does Kubernetes decide on which node to deploy a Pod?,0,,,,,65.38144742499571,,,,
qt013,PARAPHRASE,What decides where a newly requested workload runs in a cluster?,What factors determine which node a new task will be assigned to?,Which nodes are selected for a newly submitted job?,How does the system decide on the placement of a new request?,0,,,,,65.38144742499571,,,,
qt023,VAGUE,Why is my workload still pending?,Why has my task/job status not been updated?,What could be causing my work item to remain in the pending state?,How can I resolve that my job/application request is still waiting?,0,,,,,65.76368079998065,,,,
qt033,EXACT_IDENTIFIER,What does VACUUM do with obsolete row versions?,What happens to old data version records when you run the VACUUM command?,How does the VACUUM operation handle deleted rows in PostgreSQL databases?,What's the effect of running VACUUM on existing row versions?,0,VACUUM,,,,65.76368079998065,,,,
qt043,MULTI_PART,"How does Kubernetes filter and score nodes, and what happens after a Pod is bound?","How does Kubernetes filter and score nodes, and what happens after a Pod is bound?","How does Kubernetes filter and score nodes, and what happens after a Pod is bound?","How does Kubernetes filter and score nodes, and what happens after a Pod is bound?",1,,,,,65.76368079998065,,,,
qt004,DIRECT,What is Apache Kafka used for?,What are the primary uses of Apache Kafka?,What is the purpose of Apache Kafka in data processing systems?,How does Apache Kafka facilitate real-time data streaming?,0,,,,,65.76368079998065,,,,
qt014,PARAPHRASE,How can separate applications independently reread the same ordered events?,How do I make multiple apps read the same sequence of events separately?,How can different applications independently re-read the same ordered events?,How do I allow multiple programs to process the same set of events individually?,0,,,,,65.86792809999315,,,,
qt024,VAGUE,How can I read the same messages again?,How do I retrieve previously sent emails?,How can I access old email messages?,What methods are available to view past email communications?,0,,,,,65.86792809999315,,,,
qt034,EXACT_IDENTIFIER,How does Read Committed choose snapshots?,How does Read Committed choose snapshots?,How does Read Committed choose snapshots?,How does Read Committed choose snapshots?,1,,,,,65.86792809999315,,,,
qt044,MULTI_PART,"How do Kafka partitions enable parallelism, and how are they replicated across brokers?","How do Kafka partitions enable parallelism, and how are they replicated across brokers?","How do Kafka partitions enable parallelism, and how are they replicated across brokers?","How do Kafka partitions enable parallelism, and how are they replicated across brokers?",1,,,,,65.86792809999315,,,,
