id,source,chunk_index,relevant_source,vector_rank,rerank_rank,rerank_score
q001,postgres-replication.md,0,1,1,1,0.9994427561759949
q001,postgres-replication.md,1,1,2,2,0.9925575256347656
q001,postgres-replication.md,3,1,3,3,0.9917011857032776
q001,postgres-mvcc.md,2,0,6,4,0.9899137020111084
q001,postgres-mvcc.md,3,0,5,5,0.9787966012954712
q001,kafka-overview.md,3,0,7,6,0.9319921731948853
q001,postgres-replication.md,2,1,4,7,0.8380596041679382
q001,postgres-replication.md,4,1,8,8,0.12382610142230988
q001,postgres-mvcc.md,0,0,10,9,0.05885428562760353
q001,postgres-mvcc.md,1,0,11,10,0.01631777174770832
q001,kafka-overview.md,2,0,9,11,0.00011802776134572923
q001,kafka-overview.md,1,0,12,12,0.00011134581291116774
q001,kafka-overview.md,0,0,13,13,1.993048317672219e-05
q001,kubernetes-scheduling.md,3,0,17,14,1.553429501655046e-05
q001,kubernetes-scheduling.md,0,0,16,15,1.3241297892818693e-05
q001,kubernetes-scheduling.md,2,0,15,16,1.3120511539455038e-05
q001,kubernetes-scheduling.md,1,0,14,17,1.131149383581942e-05
q002,postgres-mvcc.md,0,1,2,1,0.997503936290741
q002,postgres-mvcc.md,2,1,4,2,0.9972646236419678
q002,postgres-mvcc.md,3,1,1,3,0.9855154752731323
q002,postgres-mvcc.md,1,1,3,4,0.9759083986282349
q002,postgres-replication.md,2,0,5,5,0.06677734106779099
q002,kafka-overview.md,3,0,9,6,0.014166144654154778
q002,postgres-replication.md,0,0,8,7,0.012755212374031544
q002,postgres-replication.md,3,0,6,8,0.00394104328006506
q002,postgres-replication.md,4,0,10,9,0.0014321438502520323
q002,kafka-overview.md,1,0,11,10,3.993826612713747e-05
q002,postgres-replication.md,1,0,7,11,3.457333514234051e-05
q002,kafka-overview.md,2,0,12,12,2.1657209799741395e-05
q002,kafka-overview.md,0,0,13,13,1.8995468053617515e-05
q002,kubernetes-scheduling.md,2,0,15,14,1.4682108485430945e-05
q002,kubernetes-scheduling.md,0,0,16,15,1.3698850125365425e-05
q002,kubernetes-scheduling.md,3,0,17,16,1.3518226296582725e-05
q002,kubernetes-scheduling.md,1,0,14,17,1.271033124794485e-05
