id,question,answerability,trap_type,prompt_mode,generated_answer,evidence_status,observed_status,retrieved_sources,source_count,citation_count,invalid_citation_count,prompt_tokens,retrieval_seconds,vector_seconds,lexical_seconds,fusion_seconds,generation_seconds,total_claims,supported_claims,partially_supported_claims,unsupported_claims,claims_with_citations,citations_that_support_claim,manual_correctness,manual_groundedness,manual_partial_handling,notes
g001,How does PostgreSQL streaming replication transfer changes to a standby?,full,none,baseline,PostgreSQL streaming replication transfers changes to a standby by keeping one or more standby servers synchronized with a primary database server. The primary records every database change in the write,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,5,0,0,2,0.2673179004341364,0.22295550000853837,0.044274200219661,8.820020593702793e-05,116.39263925002888,1,1,0,0,0,0,0,1,,Supported but truncated before explaining WAL transfer.
g002,What role does MVCC play in PostgreSQL transaction visibility?,full,none,baseline,MVCC (Multiversion Concurrency Control) plays a crucial role in PostgreSQL transaction visibility by allowing multiple transactions to read and modify data concurrently without conflicts. Instead,,UNDECLARED,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md,5,0,0,2,0.11428300011903048,0.07592149986885488,0.03829570021480322,6.580003537237644e-05,116.39263925002888,1,0,1,0,0,0,0,0,,Overclaims that MVCC removes conflicts; answer truncated.
g003,How does Kubernetes select a node for a Pod?,full,none,baseline,"Kubernetes selects a node for a Pod based on several factors including CPU and memory availability, node selectors, node affinities, and taints. The",,UNDECLARED,kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md|kubernetes-scheduling.md,4,0,0,2,0.11811570008285344,0.07847690000198781,0.03958780015818775,5.0999922677874565e-05,116.39263925002888,1,1,0,0,0,0,0,1,,Supported criteria but omits filtering and scoring behavior.
g004,What is Kafka primarily used for?,full,none,baseline,"Kafka is primarily used for publishing, storing, and processing ordered streams of records. It allows producers to write events to topics, and consumers to read events from",,UNDECLARED,kafka-overview.md|kafka-overview.md|kafka-overview.md|kafka-overview.md,4,0,0,2,0.13421569974161685,0.09897529985755682,0.0351966000162065,4.37998678535223e-05,116.39263925002888,1,1,0,0,0,0,1,1,,Primary use is answered correctly; no citation.
g005,What durability and latency trade-off does synchronous PostgreSQL replication make?,full,none,baseline,The durability and latency trade-off of synchronous PostgreSQL replication involves requiring one or more standby servers to acknowledge a transaction before the primary reports it as committed. This approach ensures,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,5,0,0,2,0.1281597998458892,0.0790621000342071,0.04902509995736182,7.25998543202877e-05,127.8083448499674,1,1,0,0,0,0,0,1,,Acknowledgement behavior is supported but the trade-off explanation is truncated.
g006,Why can an inactive replication slot consume disk space on a PostgreSQL primary?,full,none,baseline,An inactive replication slot consumes disk space on a PostgreSQL primary because it prevents the primary from deleting WAL (Write-Ahead Log) segments that a standby or logical replication,,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md|postgres-replication.md,5,0,0,2,0.12649530032649636,0.0879769001621753,0.0384740000590682,4.440010525286198e-05,127.8083448499674,1,1,0,0,0,0,1,1,,Correctly connects retained WAL to disk use; no citation.
g007,How does logical replication differ from physical streaming replication?,full,none,baseline,"Logical replication differs from physical streaming replication primarily in how it handles changes. Logical replication focuses on publishing row-level changes for specific tables, whereas physical streaming replication replicates",,UNDECLARED,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|kafka-overview.md,5,0,0,2,0.10708220023661852,0.0694951000623405,0.03749480005353689,9.230012074112892e-05,127.8083448499674,1,1,0,0,0,0,1,1,,Correct row-level versus physical distinction; sentence truncated.
g008,How do Read Committed and Repeatable Read differ in their use of snapshots?,full,none,baseline,"Read Committed (RC) and Repeatable Read (RR) are both isolation levels used in SQL databases like PostgreSQL to manage concurrent transactions. Under RC, each",,UNDECLARED,postgres-mvcc.md|postgres-mvcc.md|kafka-overview.md|postgres-replication.md|postgres-replication.md,5,0,0,2,0.12319800024852157,0.08666020003147423,0.0364888000767678,4.900014027953148e-05,127.8083448499674,1,0,1,0,0,0,0,0,,Generic isolation claim does not complete the requested snapshot comparison.
g009,Why can PostgreSQL readers and writers usually proceed without blocking each other?,full,none,baseline,PostgreSQL readers and writers can usually proceed without blocking each other due to its Multiversion Concurrency Control (MVCC) mechanism. Under the Read Committed,,UNDECLARED,postgres-mvcc.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,5,0,0,2,0.1034862999804318,0.06355109997093678,0.03984629991464317,8.890009485185146e-05,131.0856236249674,1,1,0,0,0,0,1,1,,Correctly attributes reduced blocking to MVCC.
g010,Why are VACUUM and autovacuum important for obsolete row versions?,full,none,baseline,VACUUM and autovacuum are important for obsolete row versions because deleted and obsolete row versions occupy storage until PostgreSQL determines that no active transaction can see,,UNDECLARED,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md,3,0,0,2,0.1015903998631984,0.06227750005200505,0.039268999826163054,4.3899985030293465e-05,131.0856236249674,1,1,0,0,0,0,1,1,,Correctly explains obsolete-row retention; output truncated.
