mode,id,correctness,groundedness,citation_status,notes
baseline,sec026,0.5,1,missing,"Explains row versions but omits the snapshot visibility rule."
baseline,sec027,1,1,missing,"Correctly attributes reader/writer concurrency to MVCC."
baseline,sec028,1,1,missing,"Correctly says VACUUM makes obsolete-row space reusable."
baseline,sec029,1,1,missing,"Correct filtering factors from the supplied source."
baseline,sec030,1,1,missing,"Correctly describes scoring the feasible nodes."
baseline,sec031,1,1,missing,"Correct taint and toleration roles despite truncation."
baseline,sec032,0.5,1,missing,"Workload division is correct; partition assignment is omitted in the truncated answer."
baseline,sec033,1,0.5,missing,"Core topic definition is correct; the table analogy is not in the evidence."
baseline,sec034,1,1,missing,"Correctly describes standby receipt of WAL."
baseline,sec035,0.5,1,missing,"Identifies replication slots but starts with contradictory insufficiency framing and truncates."
structured,sec026,0.5,1,missing,"Explains row versions but omits the snapshot visibility rule."
structured,sec027,1,1,missing,"Correctly attributes reader/writer concurrency to MVCC."
structured,sec028,0.5,0.5,missing,"Reusable space is right; wording about marked spaces and memory usage is unsupported."
structured,sec029,1,1,missing,"Correct filtering factors from the supplied source."
structured,sec030,1,1,missing,"Correctly describes scoring the feasible nodes."
structured,sec031,1,1,missing,"Correct taint and toleration roles despite truncation."
structured,sec032,1,1,missing,"Correctly explains per-group partition assignment."
structured,sec033,1,1,missing,"Correct topic and partition description."
structured,sec034,1,1,missing,"Correctly describes standby receipt of WAL."
structured,sec035,0,0.5,missing,"Claims several reasons but truncates before naming any, despite a SUPPORTED status."
layered,sec026,0.5,1,missing,"Explains row versions but omits the snapshot visibility rule."
layered,sec027,1,1,missing,"Correctly attributes reader/writer concurrency to MVCC."
layered,sec028,1,1,missing,"Correctly says VACUUM makes obsolete-row space reusable."
layered,sec029,1,1,missing,"Correct filtering factors from the supplied source."
layered,sec030,1,1,missing,"Correctly describes scoring the feasible nodes."
layered,sec031,1,1,missing,"Correct taint and toleration roles despite truncation."
layered,sec032,1,1,missing,"Correctly explains per-group partition assignment."
layered,sec033,1,1,missing,"Correct topic and partition description."
layered,sec034,0,0.5,missing,"Incorrectly labels the answer unsupported even though the retrieved source explains WAL transfer to a standby."
layered,sec035,1,1,missing,"Correctly identifies replication slots as a cause of WAL retention growth."
