id,query_type,question,answerable,vector_hit_at_20,lexical_hit_at_20,union_candidate_hit,lexical_rescue,semantic_rescue,vector_hit_at_1,vector_hit_at_5,vector_mrr,lexical_hit_at_1,lexical_hit_at_5,lexical_mrr,rrf_hit_at_1,rrf_hit_at_5,rrf_mrr,vector_reranked_hit_at_1,vector_reranked_hit_at_5,vector_reranked_mrr,hybrid_reranked_hit_at_1,hybrid_reranked_hit_at_5,hybrid_reranked_mrr,vector_sources,lexical_sources,rrf_sources,hybrid_reranked_sources,vector_seconds,lexical_seconds,fusion_seconds,vector_rerank_seconds,hybrid_rerank_seconds,vector_reranked_seconds,rrf_seconds,hybrid_reranked_seconds
q101,semantic,How are database changes conveyed from a PostgreSQL primary to its backup server?,True,1,0,1,0,1,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,postgres-replication.md|postgres-mvcc.md|kafka-overview.md|postgres-replication.md|postgres-mvcc.md,0.08329880004748702,0.04881279997061938,9.220000356435776e-05,0.5417488999664783,0.3581345999846235,0.6250477000139654,0.13220380002167076,0.49033840000629425
q102,semantic,Why might the newest committed transactions disappear after a primary database failure?,True,1,0,1,0,1,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md|postgres-mvcc.md,,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md|postgres-mvcc.md,postgres-replication.md|postgres-replication.md|postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md,0.0934198999311775,0.06804939999710768,8.9599983766675e-05,0.36804580001626164,0.35630179999861866,0.46146569994743913,0.16155889991205186,0.5178606999106705
q103,semantic,What availability step turns a recovery server into a writable database?,True,1,0,1,0,1,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,postgres-replication.md|postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md|postgres-replication.md,0.08342120004817843,0.05148140003439039,7.700000423938036e-05,0.3483855000231415,0.3411032999865711,0.43180670007131994,0.1349796000868082,0.4760829000733793
q104,semantic,Why can a disconnected replication consumer fill the primary's disk?,True,1,0,1,0,1,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,postgres-replication.md|postgres-replication.md|kafka-overview.md|kafka-overview.md|postgres-replication.md,,postgres-replication.md|postgres-replication.md|kafka-overview.md|kafka-overview.md|postgres-replication.md,postgres-replication.md|postgres-replication.md|kafka-overview.md|kafka-overview.md|postgres-replication.md,0.07463749998714775,0.06281749997287989,8.350005373358727e-05,0.3722455999813974,0.34460950002539903,0.44688309996854514,0.13753850001376122,0.48214800003916025
q105,semantic,How does table-level change publishing differ from copying a whole database cluster?,True,1,0,1,0,1,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md|kafka-overview.md,,postgres-replication.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md|kafka-overview.md,postgres-replication.md|postgres-replication.md|kafka-overview.md|postgres-mvcc.md|postgres-mvcc.md,0.07651660009287298,0.05443199991714209,0.00010259996633976698,0.3582842000760138,0.36289929994381964,0.4348008001688868,0.13105119997635484,0.4939504999201745
q106,semantic,How can database readers observe older data while another transaction updates it?,True,1,0,1,0,1,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,postgres-mvcc.md|postgres-mvcc.md|kafka-overview.md|postgres-mvcc.md|postgres-mvcc.md,,postgres-mvcc.md|postgres-mvcc.md|kafka-overview.md|postgres-mvcc.md|postgres-mvcc.md,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|kafka-overview.md|postgres-mvcc.md,0.08809580001980066,0.06199139996897429,9.780004620552063e-05,0.45711239997763187,0.3931514999130741,0.5452081999974325,0.15018500003498048,0.5433364999480546
q107,semantic,Why do reads and writes usually proceed concurrently in PostgreSQL?,True,1,0,1,0,1,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md|postgres-mvcc.md|postgres-replication.md,,postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md|postgres-mvcc.md|postgres-replication.md,postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md,0.089997100061737,0.06285719992592931,9.570003021508455e-05,0.4080505999736488,0.3678475000197068,0.4980477000353858,0.1529500000178814,0.5207975000375882
q108,semantic,How does transaction isolation change when a fresh visibility view is acquired?,True,1,0,1,0,1,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md,,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md|postgres-replication.md,0.08356239995919168,0.06066449999343604,0.00015919993165880442,0.42860089999157935,0.40385750005953014,0.512163299950771,0.14438609988428652,0.5482435999438167
q109,semantic,What background maintenance prevents obsolete tuples from accumulating indefinitely?,True,1,0,1,0,1,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,postgres-mvcc.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md|postgres-mvcc.md,,postgres-mvcc.md|postgres-replication.md|postgres-replication.md|postgres-mvcc.md|postgres-mvcc.md,postgres-mvcc.md|postgres-replication.md|postgres-mvcc.md|kafka-overview.md|kafka-overview.md,0.13842100009787828,0.05527069990057498,7.790001109242439e-05,0.36890870006754994,0.3519487999146804,0.5073297001654282,0.19376960000954568,0.5457183999242261
q110,semantic,Why is row visibility control different from sending changes to another server?,True,1,0,1,0,1,1,1,1.0,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md,,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md,postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-mvcc.md|postgres-replication.md,0.06536429992411286,0.051231599994935095,7.24999699741602e-05,0.35261559998616576,0.3501268000109121,0.4179798999102786,0.11666839988902211,0.46679519989993423
