id,meaning_preserved,identifiers_preserved,hallucinated_terminology,notes
qt001,yes,yes,no,"Three faithful replication paraphrases."
qt011,yes,yes,no,"Preserves stable-reader and nonblocking-writer intent."
qt021,yes,yes,no,"Faithfully paraphrases failure to clean old versions."
qt031,partial,yes,no,"WAL is retained but the alternate query is truncated."
qt041,partial,no,no,"Meaning is broadly retained but the semantic variant drops WAL and some failure detail."
qt002,yes,yes,no,"Invalid generation format safely fell back to the original."
qt012,yes,yes,no,"Preserves transfer and application to a backup database."
qt022,partial,yes,no,"Replica lag becomes broader performance degradation or slowness."
qt032,yes,yes,no,"MVCC and PostgreSQL remain explicit in all variants."
qt042,no,no,yes,"Drifts to generic snapshot isolation and deadlocks while dropping MVCC and VACUUM."
qt003,yes,yes,no,"Preserves Kubernetes Pod-to-node selection intent."
qt013,partial,yes,no,"Placement meaning remains but some variants drop the cluster context."
qt023,partial,yes,yes,"Broadens a pending workload into jobs and application requests without domain evidence."
qt033,yes,yes,no,"VACUUM remains verbatim and obsolete-row handling is preserved."
qt043,yes,yes,no,"Invalid generation format safely fell back to the original."
qt004,yes,yes,no,"Preserves Kafka purpose and event-streaming intent."
qt014,yes,yes,no,"Preserves independent rereading of ordered events."
qt024,no,yes,yes,"Assumes that ambiguous messages are email and changes the retrieval domain."
qt034,yes,yes,no,"Invalid generation format safely fell back to the original."
qt044,yes,yes,no,"Invalid generation format safely fell back to the original."
