prompt_mode,id,total_claims,supported_claims,partially_supported_claims,unsupported_claims,claims_with_citations,citations_that_support_claim,manual_correctness,manual_groundedness,manual_partial_handling,notes
baseline,g001,1,1,0,0,0,0,0,1,,Supported but truncated before explaining WAL transfer.
baseline,g002,1,0,1,0,0,0,0,0,,Overclaims that MVCC removes conflicts; answer truncated.
baseline,g003,1,1,0,0,0,0,0,1,,Supported criteria but omits filtering and scoring behavior.
baseline,g004,1,1,0,0,0,0,1,1,,Primary use is answered correctly; no citation.
baseline,g005,1,1,0,0,0,0,0,1,,Acknowledgement behavior is supported but the trade-off explanation is truncated.
baseline,g006,1,1,0,0,0,0,1,1,,Correctly connects retained WAL to disk use; no citation.
baseline,g007,1,1,0,0,0,0,1,1,,Correct row-level versus physical distinction; sentence truncated.
baseline,g008,1,0,1,0,0,0,0,0,,Generic isolation claim does not complete the requested snapshot comparison.
baseline,g009,1,1,0,0,0,0,1,1,,Correctly attributes reduced blocking to MVCC.
baseline,g010,1,1,0,0,0,0,1,1,,Correctly explains obsolete-row retention; output truncated.
baseline,g011,1,0,1,0,0,0,0,0,,Describes requests as a minimum rather than reserved scheduling capacity; limits omitted.
baseline,g012,1,1,0,0,0,0,0,1,,Vague supported statement; requested mechanisms are not explained.
baseline,g013,1,1,0,0,0,0,1,1,,Complete and supported kubelet/container-runtime answer.
baseline,g014,2,1,1,0,0,0,0,0,,Conflates ordering and parallelism with replication and consumer-group assignment.
baseline,g015,2,1,1,0,0,0,1,0,,Core one-consumer-per-partition claim is correct; group independence wording is conflated.
baseline,g016,1,1,0,0,0,0,0,1,0,Explains replication but does not acknowledge the missing introduction version.
baseline,g017,1,0,1,0,0,0,0,0,0,Trade-off wording is imprecise and missing timeout is not handled.
baseline,g018,1,1,0,0,0,0,0,1,0,Explains slots but does not acknowledge the absent retention maximum.
baseline,g019,1,1,0,0,0,0,0,1,0,Explains logical replication but omits the unsupported minimum versions.
baseline,g020,1,0,1,0,0,0,0,0,0,Overgeneralizes snapshot scope and never handles memory size.
baseline,g021,1,1,0,0,0,0,0,1,0,Explains VACUUM but not the missing autovacuum interval.
baseline,g022,1,1,0,0,0,0,0,1,0,Explains filtering but not the absent scoring weights.
baseline,g023,2,2,0,0,0,0,0,1,0,Supported scheduling description but missing CPU default is not handled.
baseline,g024,2,2,0,0,0,0,0,1,0,Supported partition description but missing maximum is not handled.
baseline,g025,2,2,0,0,0,0,0,1,0,Supported group behavior but missing rebalance timeout is not handled.
baseline,g026,1,0,0,1,0,0,0,0,,Invents a maximum database-size value.
baseline,g027,1,0,0,1,0,0,0,0,,Falsely presents physical streaming replication as a zero-RPO parameter.
baseline,g028,2,0,1,1,0,0,0,0,,Invents PostgreSQL 9.0 and adds unsupported operational detail.
baseline,g029,1,0,0,1,0,0,0,0,,Invents an incorrect foreign-key meaning for SQLSTATE 23505.
baseline,g030,0,0,0,0,0,0,1,1,,Correct retrieval-level refusal.
